Date,Open,High,Low,Close,Adj Close,Volume
2015-09-04,2.840000,2.890000,2.750000,2.790000,2.517634,20784791
2015-09-07,2.800000,2.880000,2.760000,2.830000,2.553729,24180000
2015-09-08,2.870000,3.200000,2.850000,3.110000,2.806395,104957630
2015-09-09,3.170000,3.320000,3.160000,3.290000,2.968823,92916174
2015-09-10,3.210000,3.290000,3.150000,3.230000,2.914680,67767017
2015-09-11,3.270000,3.350000,3.190000,3.200000,2.887609,29159923
2015-09-14,3.280000,3.300000,3.190000,3.250000,2.932728,28892700
2015-09-15,3.300000,3.370000,3.200000,3.310000,2.986871,41323096
2015-09-16,3.360000,3.520000,3.330000,3.440000,3.104180,72154914
2015-09-17,3.450000,3.560000,3.390000,3.520000,3.176370,59449505
2015-09-18,3.550000,3.630000,3.520000,3.620000,3.266608,42445335
2015-09-21,3.580000,3.620000,3.390000,3.410000,3.077109,50000360
2015-09-22,3.430000,3.480000,3.400000,3.420000,3.086132,33465000
2015-09-23,3.360000,3.370000,3.180000,3.240000,2.923704,65099000
2015-09-24,3.240000,3.330000,3.210000,3.290000,2.968823,30465562
2015-09-25,3.200000,3.300000,3.180000,3.240000,2.923704,32457453
2015-09-29,3.160000,3.230000,3.120000,3.170000,2.860538,30402265
2015-09-30,3.500000,3.780000,3.500000,3.690000,3.329774,377577005
2015-10-02,3.940000,3.940000,3.800000,3.860000,3.483178,168882105
2015-10-05,3.910000,3.930000,3.690000,3.710000,3.347822,74943285
2015-10-06,3.790000,4.000000,3.760000,3.860000,3.483178,137418499
2015-10-07,3.920000,4.000000,3.880000,3.960000,3.573416,103579371
2015-10-08,4.050000,4.050000,3.840000,3.900000,3.519274,115859295
2015-10-09,3.950000,4.000000,3.930000,3.960000,3.573416,46554836
2015-10-12,4.000000,4.020000,3.840000,3.900000,3.519274,64676906
2015-10-13,3.930000,3.940000,3.850000,3.920000,3.537321,69488258
2015-10-14,3.880000,3.940000,3.710000,3.720000,3.356846,75916790
2015-10-15,3.750000,3.930000,3.740000,3.920000,3.537321,75736032
2015-10-16,3.980000,3.980000,3.760000,3.800000,3.429036,62550896
2015-10-19,3.820000,3.910000,3.810000,3.890000,3.510250,43270756
2015-10-20,3.890000,3.940000,3.820000,3.830000,3.456107,59068624
2015-10-22,3.890000,3.920000,3.850000,3.900000,3.519274,60893200
2015-10-23,3.970000,4.140000,3.920000,4.070000,3.672678,122567107
2015-10-26,4.140000,4.140000,4.030000,4.090000,3.690726,47837186
2015-10-27,4.110000,4.200000,4.040000,4.090000,3.690726,63803992
2015-10-28,4.100000,4.160000,4.050000,4.100000,3.699749,46249544
2015-10-29,4.120000,4.230000,4.070000,4.170000,3.762916,68929009
2015-10-30,4.200000,4.230000,4.120000,4.170000,3.762916,56695527
2015-11-02,4.190000,4.220000,4.080000,4.090000,3.690726,42178900
2015-11-03,4.160000,4.200000,4.120000,4.140000,3.735844,33533358
2015-11-04,4.190000,4.330000,4.170000,4.250000,3.835106,83809104
2015-11-05,4.200000,4.240000,4.080000,4.100000,3.699749,43440586
2015-11-06,4.090000,4.120000,3.930000,4.000000,3.609511,89937212
2015-11-09,4.000000,4.010000,3.880000,3.890000,3.510250,76864184
2015-11-10,3.880000,3.940000,3.860000,3.860000,3.483178,42233000
2015-11-11,3.840000,3.940000,3.830000,3.920000,3.537321,38309781
2015-11-12,3.950000,4.010000,3.930000,3.990000,3.600488,61928181
2015-11-13,3.930000,3.990000,3.870000,3.930000,3.546345,36702660
2015-11-16,3.860000,3.940000,3.810000,3.850000,3.474155,52550000
2015-11-17,3.920000,4.010000,3.890000,4.000000,3.609511,59036072
2015-11-18,4.090000,4.090000,3.960000,3.970000,3.582440,28124757
2015-11-19,4.100000,4.310000,4.100000,4.170000,3.762916,111900137
2015-11-20,4.150000,4.230000,4.140000,4.200000,3.789987,43834500
